,Unnamed: 0,rgi_id,rgi_region,rgi_subregion,name,cenlon,cenlat,rgi_area_km2,glacier_type,terminus_type,status,dem_source,n_orig_centerlines,error_task,error_msg,dem_mean_elev,dem_med_elev,dem_min_elev,dem_max_elev,dem_max_elev_on_ext,dem_min_elev_on_ext,dem_perc_area_above_max_elev_on_ext,n_centerlines,longuest_centerline_km,lake_type,calving_front_width,length_to_LGM,region,debris,debris_jb
176,176,RGI60-15.10965,15,15-Feb,Cn5O252A0006,89.527,28.102,6.42,Glacier,Land-terminating,Glacier or ice cap,SRTM,3,,,5930.07666,5918,5257,6521,6521,5257,0,3,4.033507068,0,,,bhutan,,0
177,177,RGI60-15.09491,15,15-Feb,Cn5O191B0006,85.868,28.162,6.403,Glacier,Land-terminating,Glacier or ice cap,SRTM,2,,,5232.675293,5300,4373,6426,6426,4373,0,2,7.447375752,2,,,poiqu,1,1
178,178,RGI60-15.10130,15,15-Feb,Cn5O194A0006,86.712,28.247,6.401,Glacier,Land-terminating,Glacier or ice cap,SRTM,5,,,6140.568848,6141,5749,6479,6479,5749,0,5,4.560703028,0,,,everest,,0
179,179,RGI60-15.05181,15,15-Jan,,82.38999551,29.74886141,6.39,Glacier,Land-terminating,Glacier or ice cap,SRTM,9,,,5095.468262,5094,4622,5545,5545,4622,0,9,5.062713129,0,,,central_west_one,,0
180,180,RGI60-15.09802,15,15-Feb,Cn5O193A0125 Kadazhanggeli Glacier,86.986,28.081,6.293,Ice cap,Land-terminating,Glacier or ice cap,SRTM,1,,,6414.183105,6388,5896,7093,7093,5896,0,1,6.04504444,0,,,everest,,0
181,181,RGI60-15.10356,15,15-Feb,Cn5O197B0141 Jimi Glacier,87.944,27.921,6.246,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5725.344727,5651,5179,6645,6645,5179,0,4,5.876269478,1,250,,sikkim,,0
182,182,RGI60-15.09599,15,15-Feb,Cn5O191D0002,86.276,28.338,6.018,Glacier,Land-terminating,Glacier or ice cap,SRTM,2,,,6128.254883,6018,5565,6930,6930,5565,0,2,7.657009086,1,390,,poiqu,,0
183,183,RGI60-15.02706,15,15-Feb,,88.28465374,27.79292574,5.982,Glacier,Land-terminating,Glacier or ice cap,SRTM,8,,,5707.533203,5730,5303,6069,6069,5303,0,8,6.151231165,0,,,sikkim,,0
184,184,RGI60-15.03435,15,15-Feb,,86.54076806,27.95511244,5.911,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5197.574707,5145,4850,6015,6015,4850,0,4,7.610025971,2,,,everest,1,1
185,185,RGI60-15.10779,15,15-Feb,Cn5O212A025,90.503,28.214,5.899,Glacier,Land-terminating,Glacier or ice cap,SRTM,4,,,5988.211914,5939,5527,6754,6754,5527,0,4,5.368231165,0,,,bhutan,,0
